date,rank,handle,current_followers,comparison_followers,follower_change_30d_plus,growth_percent_30d_plus,comparison_date,comparison_days,comparison_source,current_total_posts,posts_since_previous_snapshot,previous_post_snapshot_date,ahead_of_nba,ahead_of_target
2026-09-08,1,tahnee.sheehan,88300,,,,,,,149,,,yes,yes
2026-09-08,2,donnaatkins_theposingcoach,20100,,,,,,,451,,,yes,yes
2026-09-08,3,natkitneyposingcoach,19200,,,,,,,383,,,yes,yes
2026-09-08,4,australianposingschool,10400,,,,,,,460,,,yes,yes
2026-09-08,5,theposinginstitute,9300,,,,,,,568,,,yes,yes
2026-09-08,6,internationalposingacademy,7500,,,,,,,532,,,yes,yes
2026-09-08,7,wf.coaching,3600,,,,,,,161,,,yes,yes
2026-09-08,8,melgreen_coaching,2900,,,,,,,34,,,yes,yes
2026-09-08,9,personalisedposing,2000,,,,,,,273,,,no,no
