date,collected_at,handle,followers,follower_precision,follower_source,total_posts,status,source,profile_url
2026-09-08,2026-09-08T20:00:00+10:00,personalisedposing,2000,approximate,user_provided_screenshot,273,seed,meta_benchmarking_screenshot,https://www.instagram.com/personalisedposing/
2026-09-08,2026-09-08T20:00:00+10:00,theposinginstitute,9300,approximate,user_provided_screenshot,568,seed,meta_benchmarking_screenshot,https://www.instagram.com/theposinginstitute/
2026-09-08,2026-09-08T20:00:00+10:00,internationalposingacademy,7500,approximate,user_provided_screenshot,532,seed,meta_benchmarking_screenshot,https://www.instagram.com/internationalposingacademy/
2026-09-08,2026-09-08T20:00:00+10:00,wf.coaching,3600,approximate,user_provided_screenshot,161,seed,meta_benchmarking_screenshot,https://www.instagram.com/wf.coaching/
2026-09-08,2026-09-08T20:00:00+10:00,australianposingschool,10400,approximate,user_provided_screenshot,460,seed,meta_benchmarking_screenshot,https://www.instagram.com/australianposingschool/
2026-09-08,2026-09-08T20:00:00+10:00,melgreen_coaching,2900,approximate,user_provided_screenshot,34,seed,meta_benchmarking_screenshot,https://www.instagram.com/melgreen_coaching/
2026-09-08,2026-09-08T20:00:00+10:00,donnaatkins_theposingcoach,20100,approximate,user_provided_screenshot,451,seed,meta_benchmarking_screenshot,https://www.instagram.com/donnaatkins_theposingcoach/
2026-09-08,2026-09-08T20:00:00+10:00,tahnee.sheehan,88300,approximate,user_provided_screenshot,149,seed,meta_benchmarking_screenshot,https://www.instagram.com/tahnee.sheehan/
2026-09-08,2026-09-08T20:00:00+10:00,natkitneyposingcoach,19200,approximate,user_provided_screenshot,383,seed,meta_benchmarking_screenshot,https://www.instagram.com/natkitneyposingcoach/
