"handle","name","profile_url","group","active"
"personalisedposing","Personalised Posing","https://www.instagram.com/personalisedposing/","Personalised Posing","yes"
"theposinginstitute","The Posing Institute","https://www.instagram.com/theposinginstitute/","Posing School","yes"
"internationalposingacademy","International Posing Academy","https://www.instagram.com/internationalposingacademy/","Posing School","yes"
"wf.coaching","WF Coaching","https://www.instagram.com/wf.coaching/","Posing Coach","yes"
"australianposingschool","Australian Posing School","https://www.instagram.com/australianposingschool/","Posing School","yes"
"melgreen_coaching","Mel Green Coaching","https://www.instagram.com/melgreen_coaching/","Posing Coach","yes"
"donnaatkins_theposingcoach","Donna Atkins — The Posing Coach","https://www.instagram.com/donnaatkins_theposingcoach/","Posing Coach","yes"
"tahnee.sheehan","Tahnee Sheehan","https://www.instagram.com/tahnee.sheehan/","Posing Coach","yes"
"natkitneyposingcoach","Nat Kitney Posing Coach","https://www.instagram.com/natkitneyposingcoach/","Posing Coach","yes"
