date,handle,followers,published_content,source
2026-05-04,icn_sa,6700,369,historical_manual
2026-05-04,icn_tasmania,2300,12,historical_manual
2026-05-04,icn_victoria,12500,302,historical_manual
2026-05-04,icn_wa,11000,552,historical_manual
2026-05-04,icnnewzealand,6100,463,historical_manual
2026-05-04,icnqld,18000,579,historical_manual
2026-05-04,ifbbproleagueoz,55100,743,historical_manual
2026-05-04,msfitnessaustralia,15100,216,historical_manual
2026-05-04,msfitnessaustralia_perth,1500,0,historical_manual
2026-05-04,msfitnessaustralia_vic,776,437,historical_manual
2026-05-04,nabbaaustralia,15800,216,historical_manual
2026-05-04,nbaaustralia_official,16900,570,historical_manual
2026-05-04,pca_australia,11400,239,historical_manual
2026-05-04,wnbfaustralia,6800,399,historical_manual
2026-05-04,ynf_australia,4800,0,historical_manual
2026-05-18,anb.australia,9500,599,historical_manual
2026-05-18,anbqldofficial,2000,0,historical_manual
2026-05-18,cbrfitexpo,2000,0,historical_manual
2026-05-18,dfba_global,1500,91,historical_manual
2026-05-18,icn.indonesia,1600,9,historical_manual
2026-05-18,icn_act,4600,442,historical_manual
2026-05-18,icn_nsw,15800,754,historical_manual
2026-05-18,icn_nt,1400,12,historical_manual
2026-05-18,icn_sa,6700,603,historical_manual
2026-05-18,icn_tasmania,2300,10,historical_manual
2026-05-18,icn_victoria,12500,350,historical_manual
2026-05-18,icn_wa,11000,370,historical_manual
2026-05-18,icnnewzealand,6200,574,historical_manual
2026-05-18,icnqld,17700,360,historical_manual
2026-05-18,ifbbproleagueoz,54900,350,historical_manual
2026-05-18,msfitnessaustralia,15000,379,historical_manual
2026-05-18,msfitnessaustralia_perth,1500,0,historical_manual
2026-05-18,msfitnessaustralia_vic,824,509,historical_manual
2026-05-18,nabbaaustralia,15700,276,historical_manual
2026-05-18,nbaaustralia_official,17200,665,historical_manual
2026-05-18,pca_australia,11300,146,historical_manual
2026-05-18,wnbfaustralia,6900,433,historical_manual
2026-05-18,ynf_australia,4700,0,historical_manual
2026-05-26,anb.australia,9500,588,historical_manual
2026-05-26,anbqldofficial,2000,0,historical_manual
2026-05-26,cbrfitexpo,2000,0,historical_manual
2026-05-26,dfba_global,1500,118,historical_manual
2026-05-26,icn.indonesia,1600,12,historical_manual
2026-05-26,icn_act,4600,283,historical_manual
2026-05-26,icn_nsw,15800,750,historical_manual
2026-05-26,icn_nt,1400,10,historical_manual
2026-05-26,icn_sa,6700,571,historical_manual
2026-05-26,icn_tasmania,2300,9,historical_manual
2026-05-26,icn_victoria,12500,335,historical_manual
2026-05-26,icn_wa,11000,230,historical_manual
2026-05-26,icnnewzealand,6200,582,historical_manual
2026-05-26,icnqld,17700,358,historical_manual
2026-05-26,ifbbproleagueoz,54900,298,historical_manual
2026-05-26,msfitnessaustralia,15000,376,historical_manual
2026-05-26,msfitnessaustralia_perth,1500,0,historical_manual
2026-05-26,msfitnessaustralia_vic,832,488,historical_manual
2026-05-26,nabbaaustralia,15900,310,historical_manual
2026-05-26,nbaaustralia_official,17300,667,historical_manual
2026-05-26,pca_australia,11300,155,historical_manual
2026-05-26,wnbfaustralia,6900,427,historical_manual
2026-05-26,ynf_australia,4700,0,historical_manual
2026-06-02,anb.australia,9500,575,historical_manual
2026-06-02,anbqldofficial,2000,0,historical_manual
2026-06-02,cbrfitexpo,2000,1,historical_manual
2026-06-02,dfba_global,1600,153,historical_manual
